127.0.0.1 - - [23/Aug/2020:17:01:20 -0400] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [23/Aug/2020:17:01:27 -0400] "GET /atm-api/swagger HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Aug/2020:17:01:27 -0400] "GET /atm-api/swagger/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Aug/2020:17:01:27 -0400] "GET /atm-api/swagger/swagger-ui.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2020:17:01:28 -0400] "GET /atm-api/swagger/webjars/springfox-swagger-ui/css/typography.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2020:17:01:28 -0400] "GET /atm-api/swagger/webjars/springfox-swagger-ui/css/reset.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2020:17:01:28 -0400] "GET /atm-api/swagger/webjars/springfox-swagger-ui/lib/jquery-1.8.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2020:17:01:28 -0400] "GET /atm-api/swagger/webjars/springfox-swagger-ui/css/screen.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2020:17:01:28 -0400] "GET /atm-api/swagger/webjars/springfox-swagger-ui/lib/jquery.slideto.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2020:17:01:28 -0400] "GET /atm-api/swagger/webjars/springfox-swagger-ui/lib/handlebars-2.0.0.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2020:17:01:28 -0400] "GET /atm-api/swagger/webjars/springfox-swagger-ui/lib/jquery.wiggle.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2020:17:01:28 -0400] "GET /atm-api/swagger/webjars/springfox-swagger-ui/lib/jquery.ba-bbq.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2020:17:01:28 -0400] "GET /atm-api/swagger/webjars/springfox-swagger-ui/lib/underscore-min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2020:17:01:28 -0400] "GET /atm-api/swagger/webjars/springfox-swagger-ui/swagger-ui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2020:17:01:28 -0400] "GET /atm-api/swagger/webjars/springfox-swagger-ui/lib/jsoneditor.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2020:17:01:28 -0400] "GET /atm-api/swagger/webjars/springfox-swagger-ui/lib/marked.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2020:17:01:28 -0400] "GET /atm-api/swagger/webjars/springfox-swagger-ui/lib/swagger-oauth.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2020:17:01:28 -0400] "GET /atm-api/swagger/webjars/springfox-swagger-ui/lib/highlight.7.3.pack.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2020:17:01:28 -0400] "GET /atm-api/swagger/webjars/springfox-swagger-ui/lib/backbone-min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2020:17:01:28 -0400] "GET /atm-api/swagger/webjars/springfox-swagger-ui/springfox.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2020:17:01:28 -0400] "GET /atm-api/swagger/webjars/springfox-swagger-ui/css/print.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2020:17:01:28 -0400] "GET /atm-api/swagger/webjars/springfox-swagger-ui/images/logo_small.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2020:17:01:28 -0400] "GET /atm-api/swagger/swagger-resources/configuration/ui HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Aug/2020:17:01:28 -0400] "GET /atm-api/swagger/webjars/springfox-swagger-ui/fonts/DroidSans-Bold.ttf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2020:17:01:28 -0400] "GET /atm-api/swagger/webjars/springfox-swagger-ui/fonts/DroidSans.ttf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2020:17:01:28 -0400] "GET /atm-api/swagger-resources/configuration/ui HTTP/1.1" 200 216
0:0:0:0:0:0:0:1 - - [23/Aug/2020:17:01:28 -0400] "GET /atm-api/swagger/swagger-resources HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Aug/2020:17:01:28 -0400] "GET /atm-api/swagger-resources HTTP/1.1" 200 80
0:0:0:0:0:0:0:1 - - [23/Aug/2020:17:01:28 -0400] "GET /atm-api/swagger/v2/api-docs HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Aug/2020:17:01:29 -0400] "GET /atm-api/v2/api-docs HTTP/1.1" 200 3537
0:0:0:0:0:0:0:1 - - [23/Aug/2020:17:01:29 -0400] "GET /atm-api/swagger/swagger-resources/configuration/security HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Aug/2020:17:01:29 -0400] "GET /atm-api/swagger-resources/configuration/security HTTP/1.1" 200 81
0:0:0:0:0:0:0:1 - - [23/Aug/2020:17:01:30 -0400] "GET /atm-ui/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2020:17:01:30 -0400] "GET /atm-ui/resources/js-jsx/model/TransferModel.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2020:17:01:30 -0400] "GET /atm-ui/resources/js-jsx/model/AccountInfoBoxModel.js HTTP/1.1" 304 -
