127.0.0.1 - - [20/Dec/2020:11:41:27 -0500] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [20/Dec/2020:11:41:41 -0500] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [20/Dec/2020:11:41:41 -0500] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [20/Dec/2020:11:41:48 -0500] "GET /atm-ui/ HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [20/Dec/2020:11:41:50 -0500] "GET /atm-ui/index.html HTTP/1.1" 200 3653
0:0:0:0:0:0:0:1 - - [20/Dec/2020:11:41:50 -0500] "GET /atm-ui/resources/js-jsx/lib/react.min.js HTTP/1.1" 200 12463
0:0:0:0:0:0:0:1 - - [20/Dec/2020:11:41:50 -0500] "GET /atm-ui/resources/css/antarctica.css HTTP/1.1" 200 13950
0:0:0:0:0:0:0:1 - - [20/Dec/2020:11:41:50 -0500] "GET /atm-ui/resources/js-jsx/Banner.js HTTP/1.1" 200 1079
0:0:0:0:0:0:0:1 - - [20/Dec/2020:11:41:50 -0500] "GET /atm-ui/resources/js-jsx/lib/react-dom.min.js HTTP/1.1" 200 118656
0:0:0:0:0:0:0:1 - - [20/Dec/2020:11:41:50 -0500] "GET /atm-ui/resources/js-jsx/lib/jquery-3.5.1.min.js HTTP/1.1" 200 298500
0:0:0:0:0:0:0:1 - - [20/Dec/2020:11:41:50 -0500] "GET /atm-ui/resources/js-jsx/model/AccountInfoBoxModel.js HTTP/1.1" 200 179
0:0:0:0:0:0:0:1 - - [20/Dec/2020:11:41:50 -0500] "GET /atm-ui/resources/js-jsx/model/LoginModel.js HTTP/1.1" 200 169
0:0:0:0:0:0:0:1 - - [20/Dec/2020:11:41:51 -0500] "GET /atm-ui/resources/js-jsx/model/TransferModel.js HTTP/1.1" 200 206
0:0:0:0:0:0:0:1 - - [20/Dec/2020:11:41:51 -0500] "GET /atm-ui/resources/js-jsx/lib/babel.min.js HTTP/1.1" 200 1644346
0:0:0:0:0:0:0:1 - - [20/Dec/2020:11:41:51 -0500] "GET /atm-ui/resources/js-jsx/view/MiddleArea.jsx HTTP/1.1" 200 175
0:0:0:0:0:0:0:1 - - [20/Dec/2020:11:41:51 -0500] "GET /atm-ui/resources/js-jsx/view/TransferForm.jsx HTTP/1.1" 200 1926
0:0:0:0:0:0:0:1 - - [20/Dec/2020:11:41:51 -0500] "GET /atm-ui/resources/js-jsx/view/TransactionWindowArea.jsx HTTP/1.1" 200 2225
0:0:0:0:0:0:0:1 - - [20/Dec/2020:11:41:51 -0500] "GET /atm-ui/resources/js-jsx/view/LoginForm.jsx HTTP/1.1" 200 1019
0:0:0:0:0:0:0:1 - - [20/Dec/2020:11:41:51 -0500] "GET /atm-ui/resources/js-jsx/view/AccountInfoBox.jsx HTTP/1.1" 200 528
0:0:0:0:0:0:0:1 - - [20/Dec/2020:11:41:51 -0500] "GET /atm-ui/resources/js-jsx/view/HistoryForm.jsx HTTP/1.1" 200 944
0:0:0:0:0:0:0:1 - - [20/Dec/2020:11:41:51 -0500] "GET /atm-ui/resources/js-jsx/view/HistoryTable.jsx HTTP/1.1" 200 733
