127.0.0.1 - - [18/Jun/2021:22:39:39 -0400] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:39:56 -0400] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:40:00 -0400] "GET /index.html HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:40:06 -0400] "GET /atm/ HTTP/1.1" 404 759
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:40:10 -0400] "GET /atm-api/ HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:41:09 -0400] "GET /swagger HTTP/1.1" 404 758
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:41:24 -0400] "GET /swagger/swagger-ui HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:41:31 -0400] "GET /swagger/swagger-ui.html HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:41:43 -0400] "GET /swagger-ui.html HTTP/1.1" 404 766
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:41:57 -0400] "GET /atm-api/swagger-ui.html HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:42:02 -0400] "GET /atm-api/swagger/swagger-ui.html HTTP/1.1" 200 2927
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:42:02 -0400] "GET /atm-api/swagger/webjars/springfox-swagger-ui/css/typography.css HTTP/1.1" 200 450
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:42:02 -0400] "GET /atm-api/swagger/webjars/springfox-swagger-ui/css/reset.css HTTP/1.1" 200 1066
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:42:02 -0400] "GET /atm-api/swagger/webjars/springfox-swagger-ui/lib/jquery.slideto.min.js HTTP/1.1" 200 369
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:42:02 -0400] "GET /atm-api/swagger/webjars/springfox-swagger-ui/lib/jquery.wiggle.min.js HTTP/1.1" 200 762
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:42:02 -0400] "GET /atm-api/swagger/webjars/springfox-swagger-ui/css/screen.css HTTP/1.1" 200 44551
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:42:02 -0400] "GET /atm-api/swagger/webjars/springfox-swagger-ui/lib/jquery.ba-bbq.min.js HTTP/1.1" 200 4119
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:42:02 -0400] "GET /atm-api/swagger/webjars/springfox-swagger-ui/lib/jquery-1.8.0.min.js HTTP/1.1" 200 92555
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:42:02 -0400] "GET /atm-api/swagger/webjars/springfox-swagger-ui/lib/handlebars-2.0.0.js HTTP/1.1" 200 48517
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:42:02 -0400] "GET /atm-api/swagger/webjars/springfox-swagger-ui/lib/backbone-min.js HTTP/1.1" 200 20390
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:42:02 -0400] "GET /atm-api/swagger/webjars/springfox-swagger-ui/lib/underscore-min.js HTTP/1.1" 200 15626
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:42:02 -0400] "GET /atm-api/swagger/webjars/springfox-swagger-ui/swagger-ui.min.js HTTP/1.1" 200 326930
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:42:02 -0400] "GET /atm-api/swagger/webjars/springfox-swagger-ui/lib/highlight.7.3.pack.js HTTP/1.1" 200 7499
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:42:02 -0400] "GET /atm-api/swagger/webjars/springfox-swagger-ui/lib/jsoneditor.min.js HTTP/1.1" 200 130042
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:42:02 -0400] "GET /atm-api/swagger/webjars/springfox-swagger-ui/lib/marked.js HTTP/1.1" 200 28156
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:42:02 -0400] "GET /atm-api/swagger/webjars/springfox-swagger-ui/lib/swagger-oauth.js HTTP/1.1" 200 11183
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:42:02 -0400] "GET /atm-api/swagger/webjars/springfox-swagger-ui/springfox.js HTTP/1.1" 200 3828
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:42:02 -0400] "GET /atm-api/swagger/webjars/springfox-swagger-ui/css/print.css HTTP/1.1" 200 42365
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:42:02 -0400] "GET /atm-api/swagger/webjars/springfox-swagger-ui/images/logo_small.png HTTP/1.1" 200 770
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:42:02 -0400] "GET /atm-api/swagger/swagger-resources/configuration/ui HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:42:02 -0400] "GET /atm-api/swagger/webjars/springfox-swagger-ui/fonts/DroidSans-Bold.ttf HTTP/1.1" 200 42480
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:42:02 -0400] "GET /atm-api/swagger/webjars/springfox-swagger-ui/fonts/DroidSans.ttf HTTP/1.1" 200 41028
